Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,Smart,36707,4451,36.71,4.45,23,130,47,64
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Globe,61632,8362,61.63,8.36,15,127,55,77
"Calamba, Laguna, Philippines",14.19488,121.15974,Smart,32441,4309,32.44,4.31,22,124,39,68
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,DITO,36847,6519,36.85,6.52,41,122,35,56
"Bacoor, Cavite, Philippines",14.43122,120.96567,Smart,39918,5900,39.92,5.90,23,120,40,58
"San Fernando, Pampanga, Philippines",15.02781,120.69349,DITO,74140,12256,74.14,12.26,22,118,20,71
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,Globe,28443,6420,28.44,6.42,24,117,51,72
"Banaybanay, Davao Oriental, Philippines",7.07628,126.02409,Globe,36310,25275,36.31,25.28,31,116,1,3
"Calamba, Laguna, Philippines",14.19488,121.15974,Globe,25545,5959,25.55,5.96,20,115,51,65
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Smart,30712,2142,30.71,2.14,25,111,51,69
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,DITO,49161,7162,49.16,7.16,21,110,42,64
"Biñan, Laguna, Philippines",14.31456,121.08316,Globe,53721,10803,53.72,10.80,18,110,31,48
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Smart,75201,5535,75.20,5.54,15,110,46,72
"Imus, Cavite, Philippines",14.42764,120.93724,DITO,55600,3718,55.60,3.72,24,101,16,25
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,DITO,67458,11154,67.46,11.15,18,100,39,63
"Marikina, Metro Manila, Philippines",14.63493,121.10195,DITO,137536,8317,137.54,8.32,18,100,25,39
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Smart,48462,4168,48.46,4.17,15,95,44,63
"Tagbilaran City, Bohol, Philippines",9.6534,123.86703,Globe,11918,7141,11.92,7.14,35,93,5,19
"SJDM, Bulacan, Philippines",14.82867,121.04324,Globe,42180,8426,42.18,8.43,23,92,33,50
"Cadiz City, Negros Occidental, Philippines",10.86192,123.23632,Globe,23793,12030,23.79,12.03,28,91,3,4
