Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Globe,Philippines,all,"May 16, 2026",14859,3153,N/A,cellular,median,4987,21,45.3569,15.0246,34548,6974,34.55,6.97
DITO,Philippines,all,"May 16, 2026",3955,1339,N/A,cellular,median,2039,28,53.2283,13.6614,31276,5517,31.28,5.52
Smart,Philippines,all,"May 17, 2026",7849,2793,N/A,cellular,median,4217,19,50.4628,16.5531,45477,6055,45.48,6.06
Globe,Philippines,all,"May 17, 2026",7731,2736,N/A,cellular,median,4230,21,44.625,14.6381,34169,7069,34.17,7.07
DITO,Philippines,all,"May 17, 2026",3238,1143,N/A,cellular,median,1737,29,53.2686,14.8506,29571,5956,29.57,5.96
Smart,Philippines,all,"May 18, 2026",7880,2755,N/A,cellular,median,4413,19,49.7076,17.1464,48228,6058,48.23,6.06
Globe,Philippines,all,"May 18, 2026",13716,2860,N/A,cellular,median,4351,20,43.1627,13.7707,36491,7892,36.49,7.89
DITO,Philippines,all,"May 18, 2026",3481,1098,N/A,cellular,median,1710,28,53.4488,13.1787,30303,6051,30.30,6.05
Smart,Philippines,all,"May 19, 2026",7897,2832,N/A,cellular,median,4447,19,50.9378,16.8386,49603,6421,49.60,6.42
Globe,Philippines,all,"May 19, 2026",13529,2846,N/A,cellular,median,4551,20,44.1909,13.9763,36379,7360,36.38,7.36
DITO,Philippines,all,"May 19, 2026",3594,1176,N/A,cellular,median,1692,27,55.4139,13.8428,35918,6403,35.92,6.40
Smart,Philippines,all,"May 20, 2026",7927,2864,N/A,cellular,median,4380,19,50.5353,17.3369,49572,6537,49.57,6.54
Globe,Philippines,all,"May 20, 2026",15311,2860,N/A,cellular,median,4374,21,44.4963,14.0592,36574,7787,36.57,7.79
DITO,Philippines,all,"May 20, 2026",3686,1140,N/A,cellular,median,1765,27,54.4132,12.8695,31671,6050,31.67,6.05
Smart,Philippines,all,"May 21, 2026",8241,2977,N/A,cellular,median,4626,19,48.489,16.1446,52275,7059,52.28,7.06
Globe,Philippines,all,"May 21, 2026",15921,2866,N/A,cellular,median,4408,21,44.4718,13.8555,37504,7695,37.50,7.70
DITO,Philippines,all,"May 21, 2026",3841,1180,N/A,cellular,median,1832,28,54.3945,13.6603,35078,6308,35.08,6.31
Smart,Philippines,all,"May 22, 2026",8997,3188,N/A,cellular,median,4868,19,49.8935,18.0402,47681,6391,47.68,6.39
Globe,Philippines,all,"May 22, 2026",21190,3126,N/A,cellular,median,4884,21,45.895,14.6475,37479,7813,37.48,7.81
DITO,Philippines,all,"May 22, 2026",3844,1295,N/A,cellular,median,1996,26,52.0027,13.4739,33509,6027,33.51,6.03
Smart,Philippines,all,"May 23, 2026",8506,3176,N/A,cellular,median,4947,19,50.8586,19.2679,45880,6163,45.88,6.16
Globe,Philippines,all,"May 23, 2026",14553,3043,N/A,cellular,median,4711,22,46.6107,14.4956,36508,7413,36.51,7.41
DITO,Philippines,all,"May 23, 2026",3543,1269,N/A,cellular,median,1978,25,52.3142,13.4423,32634,5012,32.63,5.01
Smart,Philippines,all,"May 24, 2026",7578,2755,N/A,cellular,median,4394,19,50.2529,17.174,44330,6302,44.33,6.30
Globe,Philippines,all,"May 24, 2026",7964,2657,N/A,cellular,median,4155,21,44.7519,14.0967,36834,7533,36.83,7.53
DITO,Philippines,all,"May 24, 2026",3157,1169,N/A,cellular,median,1847,24,52.9524,13.7903,36077,6075,36.08,6.08
Smart,Philippines,all,"May 25, 2026",7866,2943,N/A,cellular,median,4512,19,49.0202,18.4172,48454,6423,48.45,6.42
Globe,Philippines,all,"May 25, 2026",12612,2829,N/A,cellular,median,4515,21,45.4204,13.8381,37443,7342,37.44,7.34
DITO,Philippines,all,"May 25, 2026",3279,1129,N/A,cellular,median,1773,25,53.772,13.7612,33400,6197,33.40,6.20
Smart,Philippines,all,"May 26, 2026",8344,3003,N/A,cellular,median,4577,19,49.1652,18.4285,48241,6290,48.24,6.29
Globe,Philippines,all,"May 26, 2026",18533,2970,N/A,cellular,median,4475,21,44.5882,13.8886,37398,7716,37.40,7.72
DITO,Philippines,all,"May 26, 2026",3196,1114,N/A,cellular,median,1715,24,53.5335,13.1503,34303,5589,34.30,5.59
Smart,Philippines,all,"May 27, 2026",7932,2874,N/A,cellular,median,4291,19,49.2797,17.0474,46334,6054,46.33,6.05
Globe,Philippines,all,"May 27, 2026",9610,2792,N/A,cellular,median,4323,21,45.1311,14.2912,37999,7567,38.00,7.57
DITO,Philippines,all,"May 27, 2026",3002,1085,N/A,cellular,median,1719,24,53.9823,13.2627,31395,5758,31.40,5.76
Smart,Philippines,all,"May 28, 2026",8529,3020,N/A,cellular,median,4700,19,50.9711,18.6799,48380,6012,48.38,6.01
Globe,Philippines,all,"May 28, 2026",16078,3004,N/A,cellular,median,4644,21,44.5251,14.082,39923,7797,39.92,7.80
DITO,Philippines,all,"May 28, 2026",3557,1133,N/A,cellular,median,1721,25,53.0217,13.5796,34886,5587,34.89,5.59
Smart,Philippines,all,"May 29, 2026",8777,3101,N/A,cellular,median,4899,19,50.5708,20.2346,46346,5750,46.35,5.75
Globe,Philippines,all,"May 29, 2026",20131,3064,N/A,cellular,median,4793,21,46.0044,13.7216,36562,7486,36.56,7.49
DITO,Philippines,all,"May 29, 2026",3276,1131,N/A,cellular,median,1736,25,53.5798,14.2947,32141,5833,32.14,5.83
Smart,Philippines,all,"May 30, 2026",8510,3053,N/A,cellular,median,4742,19,50.431,17.5953,46057,5848,46.06,5.85
Globe,Philippines,all,"May 30, 2026",21259,3107,N/A,cellular,median,4937,21,45.6777,13.7994,36519,7487,36.52,7.49
DITO,Philippines,all,"May 30, 2026",3117,1098,N/A,cellular,median,1753,25,53.4896,14.3543,29671,5061,29.67,5.06
Smart,Philippines,all,"May 31, 2026",7459,2772,N/A,cellular,median,4206,19,51.6603,17.5622,46596,6211,46.60,6.21
Globe,Philippines,all,"May 31, 2026",14050,2641,N/A,cellular,median,4159,21,47.0381,14.5305,38045,7631,38.05,7.63
DITO,Philippines,all,"May 31, 2026",2886,1068,N/A,cellular,median,1641,25,53.8528,13.5438,31648,5933,31.65,5.93
Smart,Philippines,all,"Jun 1, 2026",7675,2870,N/A,cellular,median,4513,19,49.8752,17.0647,50026,6311,50.03,6.31
Globe,Philippines,all,"Jun 1, 2026",15005,2843,N/A,cellular,median,4449,21,45.2766,13.2279,38330,7940,38.33,7.94
DITO,Philippines,all,"Jun 1, 2026",3204,1130,N/A,cellular,median,1684,25,54.0003,14.13,28442,5324,28.44,5.32
