Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"SJDM, Bulacan, Philippines",14.82867,121.04324,PLDT,77023,77507,77.02,77.51,8,528,138,210
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Converge,141747,184792,141.75,184.79,3,524,143,217
"Cainta, Rizal, Philippines",14.58056,121.11565,Converge,198727,195105,198.73,195.11,3,519,160,222
"Pitogo, Quezon, Philippines",13.80951,122.10647,Converge,98834,103109,98.83,103.11,10,518,151,231
"Malabon, Metro Manila, Philippines",14.65793,120.95118,PLDT,79139,85339,79.14,85.34,6,517,185,262
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Globe,181501,174648,181.50,174.65,5,513,145,169
"Baguio, Benguet, Philippines",16.41297,120.5914,PLDT,93572,93599,93.57,93.60,5,512,165,265
"Bacoor, Cavite, Philippines",14.43122,120.96567,Globe,178318,142105,178.32,142.11,6,510,185,258
"City of Tayabas, Quezon, Philippines",14.01135,121.55983,PLDT Home Fiber,135422,131959,135.42,131.96,9,508,150,232
"Lipa City, Batangas, Philippines",13.94047,121.19395,Globe,132591,111730,132.59,111.73,7,505,183,261
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Converge,182022,185701,182.02,185.70,4,499,147,240
"Danao, Cebu, Philippines",10.52013,124.02712,PLDT Home Fiber,160978,146974,160.98,146.97,5,498,199,289
"Arayat, Pampanga, Philippines",15.15443,120.771,PLDT Home Fiber,97098,97557,97.10,97.56,9,497,169,250
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,Converge,92391,95315,92.39,95.32,3,496,165,246
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,PLDT Home Fiber,84803,93880,84.80,93.88,10,492,168,267
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,PLDT Home Fiber,76586,85894,76.59,85.89,10,492,173,233
"Marikina, Metro Manila, Philippines",14.63493,121.10195,PLDT,82579,79022,82.58,79.02,9,486,174,234
"Imus, Cavite, Philippines",14.42764,120.93724,Globe,207895,192486,207.90,192.49,6,485,158,231
"Cadiz City, Negros Occidental, Philippines",10.86192,123.23632,PLDT Home Fiber,80498,82575,80.50,82.58,7,479,153,225
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,Globe,103275,58490,103.28,58.49,14,477,108,160
"SJDM, Bulacan, Philippines",14.82867,121.04324,PLDT Home Fiber,186141,180597,186.14,180.60,5,474,138,202
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,PLDT Home Fiber,134913,115039,134.91,115.04,8,474,141,210
"Dagupan City, Pangasinan, Philippines",16.03375,120.33202,PLDT Home Fiber,115889,125699,115.89,125.70,6,469,142,218
"Subic Bay Freeport Zone, Philippines",14.80319,120.30033,PLDT,85698,87853,85.70,87.85,13,467,117,184
"General Trias, Cavite, Philippines",14.38159,120.87915,Globe,129093,111298,129.09,111.30,5,467,160,226
"Santa Fe, Nueva Vizcaya, Philippines",16.18249,120.91878,PLDT Home Fiber,151483,122109,151.48,122.11,5,464,169,254
"Silang, Cavite, Philippines",14.22025,120.96469,Globe,107183,100528,107.18,100.53,6,457,149,246
"Malolos, Bulacan, Philippines",14.86049,120.80916,PLDT,93073,93630,93.07,93.63,7,457,135,186
"San Pedro, Laguna, Philippines",14.36443,121.06192,PLDT,147164,127133,147.16,127.13,6,456,137,195
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,Converge,185991,177533,185.99,177.53,4,453,157,225
"Candaba, Pampanga, Philippines",15.09289,120.8277,PLDT Home Fiber,93980,94528,93.98,94.53,6,453,186,263
"Talavera, Nueva Ecija, Philippines",15.58575,120.9197,Converge,153959,129574,153.96,129.57,5,450,159,259
"Compostela, Cebu, Philippines",10.45408,124.013,Globe,65683,58618,65.68,58.62,6,445,132,203
"Pagadian City, Zamboanga del Sur, Philippines",7.86265,123.37106,PLDT Home Fiber,69676,75823,69.68,75.82,6,439,82,119
"Banga, South Cotabato, Philippines",6.38791,124.79617,PLDT Home Fiber,79323,76117,79.32,76.12,11,433,134,195
