Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,User Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
PLDT Home Fiber,Philippines,N/A,"Feb 17, 2026",81854,28300,all,N/A,median,42368,6,19.9483,5.1004,112908,106553,112.91,106.55
Converge,Philippines,N/A,"Feb 17, 2026",66459,23830,all,N/A,median,36486,5,12.1667,3.3625,158625,150266,158.63,150.27
Globe,Philippines,N/A,"Feb 17, 2026",39850,14698,all,N/A,median,21935,6,18.8793,3.6,123969,110589,123.97,110.59
PLDT,Philippines,N/A,"Feb 17, 2026",42870,14260,all,N/A,median,21562,8,26.5555,5.9375,87718,90849,87.72,90.85
PLDT Home Fiber,Philippines,N/A,"Feb 18, 2026",85169,29923,all,N/A,median,42755,6,20.5428,5.5583,109090,110937,109.09,110.94
Converge,Philippines,N/A,"Feb 18, 2026",68364,25405,all,N/A,median,37060,5,12.2,3.35,149697,142744,149.70,142.74
Globe,Philippines,N/A,"Feb 18, 2026",39535,14872,all,N/A,median,21245,6,19.1833,3.6014,124371,111149,124.37,111.15
PLDT,Philippines,N/A,"Feb 18, 2026",49118,17411,all,N/A,median,25101,8,26.7367,6.2523,88222,92739,88.22,92.74
PLDT Home Fiber,Philippines,N/A,"Feb 19, 2026",106081,36022,all,N/A,median,51281,7,22.2305,5.8625,112743,117811,112.74,117.81
Converge,Philippines,N/A,"Feb 19, 2026",70117,25739,all,N/A,median,37928,5,12.5715,3.4169,157585,153119,157.59,153.12
Globe,Philippines,N/A,"Feb 19, 2026",39304,15098,all,N/A,median,21498,6,18.8,3.7108,124897,110063,124.90,110.06
PLDT,Philippines,N/A,"Feb 19, 2026",52416,18675,all,N/A,median,26007,8,27.8647,6.6667,89439,93106,89.44,93.11
PLDT Home Fiber,Philippines,N/A,"Feb 20, 2026",77158,27723,all,N/A,median,41701,6,22.5438,6.9417,123895,115466,123.90,115.47
Converge,Philippines,N/A,"Feb 20, 2026",65460,23520,all,N/A,median,35785,5,15.5841,5.0559,149252,140938,149.25,140.94
Globe,Philippines,N/A,"Feb 20, 2026",38163,14466,all,N/A,median,20814,6,22.2517,4.6875,123872,110159,123.87,110.16
PLDT,Philippines,N/A,"Feb 20, 2026",46290,16244,all,N/A,median,22795,8,29.0677,8.95,89692,93024,89.69,93.02
PLDT Home Fiber,Philippines,N/A,"Feb 21, 2026",73432,23631,all,N/A,median,36011,6,22.3639,6.45,107613,106522,107.61,106.52
Converge,Philippines,N/A,"Feb 21, 2026",56596,19012,all,N/A,median,30452,5,15.6743,4.425,142302,144239,142.30,144.24
Globe,Philippines,N/A,"Feb 21, 2026",38722,12992,all,N/A,median,19934,6,18.7583,4.6936,124329,113991,124.33,113.99
PLDT,Philippines,N/A,"Feb 21, 2026",38317,12270,all,N/A,median,18998,8,27.3833,7.2667,84877,89335,84.88,89.34
PLDT Home Fiber,Philippines,N/A,"Feb 22, 2026",68913,22933,all,N/A,median,34266,6,21.8321,5.9793,112201,107271,112.20,107.27
Converge,Philippines,N/A,"Feb 22, 2026",56158,18197,all,N/A,median,28738,5,14.8234,4.0625,141585,148647,141.59,148.65
Globe,Philippines,N/A,"Feb 22, 2026",32995,11367,all,N/A,median,17709,6,19.6925,3.775,122783,109121,122.78,109.12
PLDT,Philippines,N/A,"Feb 22, 2026",33137,10950,all,N/A,median,16967,8,28.0766,7.1875,86820,91357,86.82,91.36
PLDT Home Fiber,Philippines,N/A,"Feb 23, 2026",93064,34890,all,N/A,median,49475,6,21.4782,6.075,148053,136199,148.05,136.20
Converge,Philippines,N/A,"Feb 23, 2026",83934,28631,all,N/A,median,41592,5,16.6167,5.85,134761,149884,134.76,149.88
Globe,Philippines,N/A,"Feb 23, 2026",39636,15370,all,N/A,median,21752,6,20.8486,4.8,126188,110078,126.19,110.08
PLDT,Philippines,N/A,"Feb 23, 2026",51046,18475,all,N/A,median,26521,8,29.1333,8.725,92219,93550,92.22,93.55
