Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,PLDT,96641,95431,96.64,95.43,8,321,114,155
"San Pedro, Laguna, Philippines",14.36443,121.06192,PLDT Home Fiber,113416,146068,113.42,146.07,5,319,110,144
"Calamba, Laguna, Philippines",14.19488,121.15974,Globe,196960,172056,196.96,172.06,6,313,126,179
"Agoncillo, Batangas, Philippines",13.94675,120.93026,Converge,254859,266883,254.86,266.88,7,311,69,131
"Bustos, Bulacan, Philippines",14.95239,120.91735,PLDT Home Fiber,116155,99369,116.16,99.37,8,303,127,177
"SJDM, Bulacan, Philippines",14.82867,121.04324,PLDT,64088,74756,64.09,74.76,12,303,95,141
"Binangonan, Rizal, Philippines",14.48441,121.1869,PLDT,97271,119235,97.27,119.24,4,300,125,175
"Arayat, Pampanga, Philippines",15.15443,120.771,PLDT Home Fiber,99413,102349,99.41,102.35,9,293,114,157
"La Castellana, Negros Occidental, Philippines",10.33198,123.10141,PLDT Home Fiber,157686,154983,157.69,154.98,13,293,109,157
"Santo Domingo, Nueva Ecija, Philippines",15.61284,120.88434,Globe,114397,106829,114.40,106.83,7,292,120,177
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,Globe,119133,141867,119.13,141.87,15,287,70,90
"Candaba, Pampanga, Philippines",15.09289,120.8277,PLDT Home Fiber,96503,100162,96.50,100.16,5,287,112,166
"Talisay, Negros Occidental, Philippines",10.74828,122.98012,Globe,131049,203917,131.05,203.92,11,286,106,155
"Cainta, Rizal, Philippines",14.58056,121.11565,Globe,153283,120637,153.28,120.64,5,283,136,172
"Lucena City, Quezon, Philippines",13.94139,121.62345,PLDT Home Fiber,94675,107173,94.68,107.17,5,279,98,141
"Bansalan, Davao del Sur, Philippines",6.84825,125.22584,Globe,63090,57223,63.09,57.22,13,278,119,180
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Converge,210503,209420,210.50,209.42,4,276,110,164
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Globe,217115,217115,217.12,217.12,4,273,94,167
"Canlaon City, Negros Oriental, Philippines",10.36048,123.19137,PLDT Home Fiber,99446,123451,99.45,123.45,14,273,89,127
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Converge,196271,169871,196.27,169.87,4,271,96,152
"Navotas, Metro Manila, Philippines",14.65819,120.94743,PLDT Home Fiber,109320,147949,109.32,147.95,5,269,74,116
"Nasugbu, Batangas, Philippines",14.09404,120.68901,Globe,120085,132221,120.09,132.22,7,268,78,116
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,PLDT Home Fiber,98950,99210,98.95,99.21,6,266,105,146
"San Mateo, Rizal, Philippines",14.69539,121.11767,PLDT Home Fiber,112109,170593,112.11,170.59,3,266,90,123
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Converge,109052,94123,109.05,94.12,8,256,92,131
"Digos, Davao del Sur, Philippines",6.74347,125.35515,PLDT Home Fiber,100167,96671,100.17,96.67,9,256,108,139
"Talavera, Nueva Ecija, Philippines",15.58575,120.9197,Converge,142995,167191,143.00,167.19,5,253,72,117
"San Fernando, Pampanga, Philippines",15.02781,120.69349,PLDT,85666,93420,85.67,93.42,10,253,98,141
"Taytay, Rizal, Philippines",14.55288,121.12571,Converge,216063,226762,216.06,226.76,3,250,112,165
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Globe,269990,225135,269.99,225.14,5,246,108,154
"San Antonio, Nueva Ecija, Philippines",15.31921,120.82692,PLDT Home Fiber,93466,93703,93.47,93.70,9,245,74,113
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,PLDT Home Fiber,140094,123134,140.09,123.13,7,243,71,109
"Bocaue, Bulacan, Philippines",14.7943,120.93073,PLDT Home Fiber,85141,72630,85.14,72.63,10,242,73,112
"Manila, Metro Manila, Philippines",14.59951,120.98423,Globe,121312,112559,121.31,112.56,5,242,94,127
