Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Smart,37932,3971,37.93,3.97,24,1748,365,547
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Smart,80112,6940,80.11,6.94,17,1703,534,770
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Smart,79798,9786,79.80,9.79,15,1657,383,728
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,DITO,32008,6650,32.01,6.65,33,1648,154,431
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,DITO,21393,4716,21.39,4.72,35,1619,49,474
"Angeles, Pampanga, Philippines",15.16061,120.60908,Globe,31792,5612,31.79,5.61,20,1552,447,698
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Smart,69251,8435,69.25,8.44,15,1537,404,630
"Calamba, Laguna, Philippines",14.19488,121.15974,Smart,35161,4600,35.16,4.60,22,1521,374,569
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,DITO,39710,9292,39.71,9.29,19,1464,344,510
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,DITO,40194,6030,40.19,6.03,26,1457,178,574
"Calamba, Laguna, Philippines",14.19488,121.15974,Globe,27874,5438,27.87,5.44,20,1440,393,569
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Globe,57011,9405,57.01,9.41,15,1415,415,649
"General Trias, Cavite, Philippines",14.38159,120.87915,Smart,29853,3186,29.85,3.19,23,1318,393,545
"Bacoor, Cavite, Philippines",14.43122,120.96567,Smart,39994,4604,39.99,4.60,20,1289,420,611
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Globe,72469,8935,72.47,8.94,14,1289,305,748
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Globe,24791,5784,24.79,5.78,25,1264,237,361
"Dumaguete City, Negros Oriental, Philippines",9.29841,123.29249,Globe,17730,5380,17.73,5.38,42,1248,178,250
"Lipa City, Batangas, Philippines",13.94047,121.19395,Globe,35306,5952,35.31,5.95,20,1238,322,463
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,Smart,39722,6953,39.72,6.95,30,1237,221,294
"Legazpi City, Albay, Philippines",13.11288,123.76295,Smart,49702,4242,49.70,4.24,20,1229,177,259
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,Smart,46693,4845,46.69,4.85,22,1173,344,520
"Tacloban City, Leyte, Philippines",11.22238,124.99221,Globe,28067,6821,28.07,6.82,45,1172,165,236
"Kidapawan, Cotabato, Philippines",7.02127,125.09019,Globe,27503,9589,27.50,9.59,34,1170,58,93
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,DITO,38237,8378,38.24,8.38,25,1133,278,414
"Tagum, Davao del Norte, Philippines",7.44742,125.80246,Globe,26092,9701,26.09,9.70,33,1132,130,191
"Taytay, Rizal, Philippines",14.55288,121.12571,Globe,39733,8918,39.73,8.92,15,1129,227,336
"Silang, Cavite, Philippines",14.22025,120.96469,Globe,31247,6757,31.25,6.76,19,1121,268,387
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,Globe,38184,6169,38.18,6.17,20,1116,366,556
"Mandaue, Cebu, Philippines",10.3279,123.94273,DITO,64742,4561,64.74,4.56,30,1101,302,436
"Imus, Cavite, Philippines",14.42764,120.93724,Globe,48669,6661,48.67,6.66,17,1075,394,577
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,DITO,34435,5976,34.44,5.98,28,1066,236,322
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,DITO,27583,3591,27.58,3.59,24,1061,212,393
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,DITO,75366,14137,75.37,14.14,19,1045,306,475
"San Nicolas, Ilocos Norte, Philippines",18.14708,120.58547,Globe,42829,10758,42.83,10.76,22,1044,24,35
"Malolos, Bulacan, Philippines",14.86049,120.80916,Globe,30771,6118,30.77,6.12,23,1043,152,245
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,DITO,50150,11500,50.15,11.50,21,1017,318,463
"SJDM, Bulacan, Philippines",14.82867,121.04324,Globe,33717,8414,33.72,8.41,23,1015,289,435
"Talisay, Cebu, Philippines",10.25859,123.82413,Globe,26304,4831,26.30,4.83,35,1003,253,346
